id,year,text,goal_type,n_chars,n_semicolons,n_constructs,constructs,goal_tokens,heuristic_difficulty
translated_imo_2002_p2a,2002,"b c = segment b c; o = midpoint o b c; a = on_circle a o b; d = on_circle d o b, on_bline d a b; e = on_bline e o a, on_circle e o b; f = on_bline f o a, on_circle f o b; j = on_pline j o a d, on_line j a c ? eqangle e c e j e j e f",eqangle,232,6,11,"['segment', 'midpoint', 'on_circle', 'on_circle', 'on_bline', 'on_bline', 'on_circle', 'on_bline', 'on_circle', 'on_pline', 'on_line']",9,17.5
translated_imo_2007_p4,2007,"a b c = triangle a b c; o = circle o a b c; r = on_circle r o a, on_bline r a b; l = midpoint l c a; k = midpoint k c b; p = on_line p o k, on_line p c r; q = on_line q o l, on_line q c r; l1 = foot l1 l c r; k1 = foot k1 k c r ? eqratio k k1 l l1 r q r p",eqratio,255,8,12,"['triangle', 'circle', 'on_circle', 'on_bline', 'midpoint', 'midpoint', 'on_line', 'on_line', 'on_line', 'on_line', 'foot', 'foot']",9,17.0
translated_imo_2017_p4,2017,"r s = segment r s; t = mirror t r s; o = on_bline o r s; j = on_circle j o s; o1 = circle o1 j s t; a = on_tline a r o r, on_circle a o1 s; b = on_tline b r o r, on_circle b o1 s; k = on_line k j a, on_circle k o s ? perp k t o1 t",perp,230,7,11,"['segment', 'mirror', 'on_bline', 'on_circle', 'circle', 'on_tline', 'on_circle', 'on_tline', 'on_circle', 'on_line', 'on_circle']",5,17.0
translated_imo_2021_p3,2021,"a b c = triangle; d = angle_bisector b a c; e = on_aline d a d c b, on_line a c; f = on_aline d a d b c, on_line a b; x = on_bline b c, on_line a c; o1 = circle a d c; o2 = circle e x d; y = on_line e f, on_line b c ? coll o1 o2 y",coll,230,7,12,"['triangle', 'angle_bisector', 'on_aline', 'on_line', 'on_aline', 'on_line', 'on_bline', 'on_line', 'circle', 'circle', 'on_line', 'on_line']",4,17.0
translated_imo_2004_p1,2004,"a b c = triangle a b c; o = midpoint o b c; m = on_circle m o b, on_line m a b; n = on_circle n o b, on_line n a c; r = angle_bisector r b a c, angle_bisector r m o n; o1 = circle o1 b m r; o2 = circle o2 c n r; p = on_circle p o1 r, on_circle p o2 r ? coll p b c",coll,263,7,12,"['triangle', 'midpoint', 'on_circle', 'on_line', 'on_circle', 'on_line', 'angle_bisector', 'angle_bisector', 'circle', 'circle', 'on_circle', 'on_circle']",4,16.5
translated_imo_2015_p3,2015,"a b c = triangle a b c; h = orthocenter h a b c; f = on_line f h a, on_line f b c; m = midpoint m b c; o = circle o a b c; q = on_dia q a h, on_circle q o a; k = on_dia k h q, on_circle k o a; o1 = circle o1 k q h; o2 = circle o2 f k m ? coll o1 o2 k",coll,250,8,12,"['triangle', 'orthocenter', 'on_line', 'on_line', 'midpoint', 'circle', 'on_dia', 'on_circle', 'on_dia', 'on_circle', 'circle', 'circle']",4,16.5
translated_imo_2013_p4,2013,"a b c = triangle a b c; h = orthocenter h a b c; m = on_line m h b, on_line m a c; n = on_line n h c, on_line n a b; w = on_line w b c; o1 = circle o1 b n w; o2 = circle o2 c m w; x = on_line x o1 w, on_circle x o1 w; y = on_line y o2 w, on_circle y o2 w ? coll x h y",coll,267,8,13,"['triangle', 'orthocenter', 'on_line', 'on_line', 'on_line', 'on_line', 'on_line', 'circle', 'circle', 'on_line', 'on_circle', 'on_line', 'on_circle']",4,16.5
translated_imo_2022_p4,2022,"b c = segment; d = free; e = eqdistance d b c; t = on_bline b d, on_bline c e; a = eqangle2 b t e; p = on_line a b, on_line c d; q = on_line a b, on_line c t; r = on_line a e, on_line c d; s = on_line a e, on_line d t ? cyclic p q r s",cyclic,234,8,13,"['segment', 'free', 'eqdistance', 'on_bline', 'on_bline', 'on_line', 'on_line', 'on_line', 'on_line', 'on_line', 'on_line', 'on_line', 'on_line']",5,15.7
translated_imo_2010_p4,2010,"s c p = iso_triangle s c p; o = on_tline o c s c; a = on_circle a o c; b = on_circle b o c, on_line b s a; m = on_line m c p, on_circle m o c; l = on_line l b p, on_circle l o c; k = on_line k a p, on_circle k o c ? cong m k m l",cong,228,6,11,"['iso_triangle', 'on_tline', 'on_circle', 'on_circle', 'on_line', 'on_line', 'on_circle', 'on_line', 'on_circle', 'on_line', 'on_circle']",5,15.5
translated_imo_2014_p4,2014,"a b c = triangle a b c; p = on_line p b c, on_aline p a b b c a; q = on_line q b c, on_aline q a c c b a; m = mirror m a p; n = mirror n a q; x = on_line x b m, on_line x c n; o = circle o a b c ? cong o x o a",cong,209,6,10,"['triangle', 'on_line', 'on_aline', 'on_line', 'on_aline', 'mirror', 'mirror', 'on_line', 'on_line', 'circle']",5,14.5
translated_imo_2010_p2,2010,"a b c = triangle a b c; o = circle o a b c; i = incenter i a b c; d = on_line d a i, on_circle d o a; f = on_line f b c; e = on_aline e a c b a f, on_circle e o a; g = midpoint g i f; k = on_line k d g, on_line k e i ? cong o a o k",cong,231,7,10,"['triangle', 'circle', 'on_line', 'on_circle', 'on_line', 'on_aline', 'on_circle', 'midpoint', 'on_line', 'on_line']",5,13.0
translated_imo_2018_p1,2018,"a b c = triangle a b c; o = circle o a b c; d = on_line d a b; e = on_line e a c, on_circle e a d; f = on_bline f b d, on_circle f o a; g = on_bline g e c, on_circle g o a ? para d e f g",para,186,5,9,"['triangle', 'circle', 'on_line', 'on_line', 'on_circle', 'on_bline', 'on_circle', 'on_bline', 'on_circle']",5,12.5
translated_imo_2012_p1,2012,"a b c = triangle a b c; m l k j = excenter2 m l k j a b c; f = on_line f m l, on_line f b j; g = on_line g m k, on_line g c j; s = on_line s f a, on_line s b c; t = on_line t g a, on_line t c b ? cong m s m t",cong,208,5,10,"['triangle', 'excenter2', 'on_line', 'on_line', 'on_line', 'on_line', 'on_line', 'on_line', 'on_line', 'on_line']",5,12.5
translated_imo_2012_p5,2012,"c a b = r_triangle c a b; d = foot d c a b; x = on_line x c d; k = on_line k a x, on_circle k b c; l = on_line l b x, on_circle l a c; m = on_line m a l, on_line m b k ? cong m k m l",cong,182,5,9,"['r_triangle', 'foot', 'on_line', 'on_line', 'on_circle', 'on_line', 'on_circle', 'on_line', 'on_line']",5,12.0
translated_imo_2009_p2,2009,"m l k = triangle m l k; w = circle w m l k; q = on_tline q m w m; p = mirror p q m; b = mirror b p k; c = mirror c q l; a = on_line a b q, on_line a c p; o = circle o a b c ? cong o p o q",cong,187,7,9,"['triangle', 'circle', 'on_tline', 'mirror', 'mirror', 'mirror', 'on_line', 'on_line', 'circle']",5,12.0
translated_imo_2019_p2,2019,"a b c = triangle; a1 = on_line b c; b1 = on_line a c; p = on_line a a1; q = on_line b b1, on_pline p a b; p1 = on_line p b1, eqangle3 p c a b c; q1 = on_line q a1, eqangle3 c q b c a ? cyclic p q p1 q1",cyclic,201,6,8,"['triangle', 'on_line', 'on_line', 'on_line', 'on_line', 'on_pline', 'on_line', 'on_line']",5,10.5
translated_imo_2004_p5,2004,"a b c = triangle a b c; o = circle o a b c; d = on_circle d o a; p = on_aline p b c a b d, on_aline p d c a d b ? cong a p c p",cong,126,3,5,"['triangle', 'circle', 'on_circle', 'on_aline', 'on_aline']",5,9.0
